customer_id,member_tier,transaction_date,partner_name,category,transaction_amount,base_points_issued,bonus_points_issued,total_cost_to_partner
EDR_101243,Gold,2023-11-18,Partner X,Electronics,173.18,173,692,5.19
EDR_101423,Base,2023-12-20,Partner Y,Fuel,67.68,67,0,0.402
EDR_101752,Base,2023-07-29,Partner X,Home,118.72,118,0,0.708
EDR_100595,Base,2024-05-21,Partner Y,Fuel,66.32,66,200,1.596
EDR_101464,Gold,2023-06-26,Partner X,Home,14.23,14,56,0.42
EDR_100671,Gold,2023-08-22,Partner Y,Fuel,59.33,59,0,0.354
EDR_101495,Silver,2023-06-21,Partner X,Electronics,189.59,189,0,1.134
EDR_100141,Base,2024-01-05,Partner X,Apparel,97.39,97,388,2.91
EDR_101105,Base,2023-09-17,Partner X,Electronics,69.74,69,0,0.414
EDR_100370,Base,2024-03-22,Partner X,Apparel,156.65,156,0,0.936
EDR_100444,Gold,2023-10-17,Partner X,Apparel,94.39,94,0,0.564
EDR_100326,Silver,2024-03-11,Partner Y,Fuel,71.45,71,0,0.426
EDR_100592,Base,2024-05-15,Partner Y,Fuel,77.61,77,200,1.662
EDR_100528,Base,2023-10-25,Partner Y,Fuel,88.81,88,0,0.528
EDR_100197,Gold,2024-05-01,Partner Y,Fuel,53.34,53,200,1.518
EDR_101135,Base,2023-10-07,Partner X,Home,116.52,116,0,0.696
EDR_101167,Silver,2023-06-23,Partner Y,Fuel,125.82,125,0,0.75
EDR_101959,Silver,2023-06-03,Partner Y,Fuel,78.48,78,200,1.668
EDR_101673,Gold,2023-06-05,Partner X,Electronics,82.29,82,0,0.492
EDR_100531,Gold,2024-03-03,Partner Y,Fuel,100.06,100,0,0.6
EDR_101901,Base,2023-11-26,Partner Y,Fuel,48.85,48,200,1.488
EDR_101749,Base,2023-11-25,Partner Y,Fuel,87.37,87,200,1.722
EDR_101946,Base,2023-12-04,Partner X,Apparel,214.96,214,0,1.284
EDR_100065,Silver,2024-02-20,Partner X,Home,142.79,142,0,0.852
EDR_101067,Base,2023-11-22,Partner X,Home,61.59,61,0,0.366
EDR_100600,Base,2023-10-24,Partner X,Home,119.68,119,0,0.714
EDR_100708,Base,2023-06-19,Partner X,Electronics,126.8,126,0,0.756
EDR_100475,Gold,2023-12-02,Partner X,Apparel,33.7,33,0,0.198
EDR_100566,Base,2024-04-16,Partner X,Electronics,5.0,5,0,0.03
EDR_100385,Gold,2023-10-30,Partner X,Electronics,183.8,183,0,1.098
EDR_100282,Base,2024-02-03,Partner Y,Fuel,85.68,85,0,0.51
EDR_101014,Silver,2023-07-05,Partner Y,Fuel,52.92,52,0,0.312
EDR_100927,Silver,2023-07-06,Partner Y,Fuel,71.23,71,200,1.626
EDR_100365,Base,2023-10-15,Partner Y,Fuel,108.61,108,200,1.848
EDR_100648,Silver,2023-10-20,Partner Y,Fuel,63.52,63,200,1.578
EDR_101132,Base,2024-04-18,Partner X,Apparel,188.54,188,0,1.128
EDR_100268,Base,2024-02-29,Partner Y,Fuel,55.27,55,0,0.33
EDR_101560,Base,2023-07-14,Partner X,Apparel,104.68,104,0,0.624
EDR_101939,Base,2024-03-10,Partner Y,Fuel,71.9,71,200,1.626
EDR_101499,Gold,2023-09-18,Partner X,Apparel,44.57,44,176,1.32
EDR_101457,Silver,2023-06-16,Partner Y,Fuel,59.84,59,0,0.354
EDR_100942,Silver,2023-09-26,Partner Y,Fuel,113.5,113,0,0.678
EDR_100724,Silver,2024-03-19,Partner Y,Fuel,117.42,117,0,0.702
EDR_100985,Base,2023-07-19,Partner Y,Fuel,84.43,84,200,1.704
EDR_101783,Silver,2023-06-19,Partner Y,Fuel,79.03,79,0,0.474
EDR_100040,Base,2023-09-21,Partner X,Electronics,97.99,97,0,0.582
EDR_101098,Silver,2024-02-20,Partner X,Electronics,28.89,28,112,0.84
EDR_101674,Silver,2023-10-25,Partner Y,Fuel,116.1,116,200,1.896
EDR_100930,Base,2023-10-19,Partner X,Apparel,49.26,49,0,0.294
EDR_100155,Base,2023-09-10,Partner X,Electronics,191.26,191,0,1.146
EDR_101683,Gold,2023-08-02,Partner Y,Fuel,79.39,79,200,1.674
EDR_101838,Gold,2023-11-20,Partner Y,Fuel,70.15,70,0,0.42
EDR_100532,Gold,2024-03-04,Partner X,Apparel,181.72,181,724,5.43
EDR_100459,Base,2024-05-20,Partner X,Electronics,41.0,41,164,1.23
EDR_101787,Silver,2023-12-15,Partner X,Electronics,144.59,144,0,0.864
EDR_100406,Base,2024-02-11,Partner X,Electronics,105.52,105,0,0.63
